Year,Status,Role,Department,Director,Manager,Supervisor,Lead,Staff,Question,Answer_Numeric,Answer_Text
2020 Jun,Complete,Staff,Human Services,False,False,False,False,True,"07. At work, my opinions seem to count.",3,Agree
2020 Jun,Complete,Staff,District Court,False,False,False,False,True,"07. At work, my opinions seem to count.",3,Agree
2020 Jun,Complete,Staff,Superior Court,False,False,False,False,True,"07. At work, my opinions seem to count.",3,Agree
2021 May,Complete,Lead,Human Services,False,False,False,True,False,"07. At work, my opinions seem to count.",3,Agree
2019 May,Partial,,,False,False,False,False,False,01. I know what is expected of me at work.,0,
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Assessor-Treasurer's Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Assessor-Treasurer's Office,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Lead,Assessor-Treasurer's Office,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Lead,Assessor-Treasurer's Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Assessor-Treasurer's Office,False,True,False,False,False,01. I know what is expected of me at work.,1,Strongly Disagree
2019 May,Complete,Manager,Assessor-Treasurer's Office,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,1,Strongly Disagree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
